sample_name,study,cell_type,target,genotype,batch,protocol,organism,fastq1,fastq2,read_type,read1,read2
wt.r1,Eugenio.Arl14ep,ES,Arl14ep,wt,1,RNA,mouse,wt_1.fastq.gz,wt_2.fastq.gz,paired,R1,R2
wt.r2,Eugenio.Arl14ep,ES,Arl14ep,wt,1,RNA,mouse,wt.r2_1.fastq.gz,wt.r2_2.fastq.gz,paired,R1,R2
